title,address,accsess,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
京成押上線 押上駅 9階建 築2年,東京都墨田区向島４,"
京成押上線/押上駅 歩5分
東武伊勢崎線/曳舟駅 歩8分
京成押上線/京成曳舟駅 歩11分
","
築2年
9階建
","
											3階",19.9万円,20000円,19.9万円,-,2LDK,46.41m2
クレストコート押上ノース,東京都墨田区向島４,"
都営浅草線/押上駅 歩5分
東武亀戸線/曳舟駅 歩8分
京成押上線/京成曳舟駅 歩11分
","
築2年
9階建
","
											3階",19.9万円,20000円,19.9万円,-,2LDK,46.41m2
東京メトロ日比谷線 入谷駅 14階建 築1年,東京都台東区下谷２,"
東京メトロ日比谷線/入谷駅 歩2分
ＪＲ山手線/鶯谷駅 歩7分
ＪＲ山手線/上野駅 歩13分
","
築1年
14階建
","
											8階",16.8万円,20000円,16.8万円,-,2LDK,40.69m2
つくばエクスプレス 六町駅 5階建 築2年,東京都足立区六町１,"
つくばエクスプレス/六町駅 歩3分
つくばエクスプレス/青井駅 歩17分
東京メトロ千代田線/北綾瀬駅 歩19分
","
築2年
5階建
","
											1階",15.2万円,8000円,15.2万円,15.2万円,2LDK,55.13m2
STAGE FIRST浅草橋4,東京都台東区柳橋２,"
ＪＲ総武線/浅草橋駅 歩3分
都営大江戸線/蔵前駅 歩11分
ＪＲ山手線/秋葉原駅 歩20分
","
新築
8階建
","
											2階",19.3万円,15000円,-,-,2LDK,43.26m2
Ｏｗｌ　Ｖｉｅｕｎｏ,東京都墨田区東駒形３,"
都営浅草線/本所吾妻橋駅 歩3分
東京メトロ銀座線/浅草駅 歩10分
東京メトロ半蔵門線/押上駅 歩15分
","
築5年
5階建
","
											2階",18.9万円,10000円,18.9万円,18.9万円,2LDK,63.03m2
グランカーサ江戸川橋,東京都文京区水道２,"
東京メトロ有楽町線/江戸川橋駅 歩3分
東京メトロ東西線/神楽坂駅 歩12分
東京メトロ丸ノ内線/茗荷谷駅 歩13分
","
築1年
8階建
","
											3階",18.9万円,10000円,18.9万円,-,2LDK,40.3m2
クレスト飛鳥山(クレストアスカヤマ),東京都北区滝野川１,"
都電荒川線/飛鳥山駅 歩1分
ＪＲ京浜東北線/王子駅 歩7分
東京メトロ南北線/西ケ原駅 歩10分
","
築3年
2階建
","
											2階",14.9万円,3000円,29.8万円,14.9万円,2SLDK,57.29m2
東京メトロ有楽町線 江戸川橋駅 8階建 築1年,東京都文京区水道２,"
東京メトロ有楽町線/江戸川橋駅 歩3分
東京メトロ東西線/神楽坂駅 歩9分
東京メトロ丸ノ内線/茗荷谷駅 歩10分
","
築1年
8階建
","
											3階",19.2万円,10000円,19.2万円,-,2LDK,40.38m2
仮）蓮根２丁目　大和ハウス施行　新築タウンハウス,東京都板橋区蓮根２,"
都営三田線/西台駅 歩5分
都営三田線/蓮根駅 歩8分
ＪＲ埼京線/浮間舟渡駅 歩32分
","
新築
3階建
","
											1階",15.4万円,6000円,15.4万円,15.4万円,2LDK,69.11m2
仮）蓮根２丁目　大和ハウス施行　新築タウンハウス,東京都板橋区蓮根２,"
都営三田線/西台駅 歩5分
都営三田線/蓮根駅 歩8分
ＪＲ埼京線/浮間舟渡駅 歩32分
","
新築
3階建
","
											1階",15.4万円,6000円,15.4万円,15.4万円,2LDK,69.11m2
仮）蓮根２丁目　大和ハウス施行　新築タウンハウス,東京都板橋区蓮根２,"
都営三田線/西台駅 歩5分
都営三田線/蓮根駅 歩8分
ＪＲ埼京線/浮間舟渡駅 歩32分
","
新築
3階建
","
											1階",15.4万円,6000円,15.4万円,15.4万円,2LDK,69.11m2
仮）蓮根２丁目　大和ハウス施行　新築タウンハウス,東京都板橋区蓮根２,"
都営三田線/西台駅 歩5分
都営三田線/蓮根駅 歩8分
ＪＲ埼京線/浮間舟渡駅 歩32分
","
新築
3階建
","
											1階",15.4万円,6000円,15.4万円,15.4万円,2LDK,69.11m2
仮）蓮根２丁目　大和ハウス施行　新築タウンハウス,東京都板橋区蓮根２,"
都営三田線/西台駅 歩5分
都営三田線/蓮根駅 歩8分
ＪＲ埼京線/浮間舟渡駅 歩32分
","
新築
3階建
","
											1階",15.4万円,6000円,15.4万円,15.4万円,2LDK,69.11m2
仮）蓮根２丁目　大和ハウス施行　新築タウンハウス,東京都板橋区蓮根２,"
都営三田線/西台駅 歩5分
都営三田線/蓮根駅 歩8分
ＪＲ埼京線/浮間舟渡駅 歩32分
","
新築
3階建
","
											1階",15.6万円,6000円,15.6万円,15.6万円,2LDK,69.44m2
ベルメール南大泉,東京都練馬区南大泉４,"
西武池袋線/保谷駅 歩5分
西武池袋線/大泉学園駅 歩18分
西武新宿線/東伏見駅 歩28分
","
新築
2階建
","
											1階",12.6万円,4000円,12.6万円,12.6万円,2LDK,53.75m2
（仮称）亀戸８丁目メゾン,東京都江東区亀戸８,"
ＪＲ総武線/亀戸駅 歩11分
東武亀戸線/亀戸水神駅 歩2分
ＪＲ総武線/平井駅 歩16分
","
新築
3階建
","
											2階",19.3万円,7000円,19.3万円,38.6万円,2LDK,58.27m2
（仮称）亀戸８丁目メゾン,東京都江東区亀戸８,"
ＪＲ総武線/亀戸駅 歩11分
東武亀戸線/亀戸水神駅 歩2分
ＪＲ総武線/平井駅 歩16分
","
新築
3階建
","
											3階",19.4万円,7000円,19.4万円,38.8万円,2LDK,58.27m2
東京メトロ南北線 王子神谷駅 13階建 築3年,東京都北区神谷１,"
東京メトロ南北線/王子神谷駅 歩4分
ＪＲ京浜東北線/東十条駅 歩13分
ＪＲ埼京線/十条駅 歩20分
","
築3年
13階建
","
											2階",16.9万円,20000円,16.9万円,16.9万円,2LDK,50.8m2
ユナイト,東京都北区神谷１,"
東京メトロ南北線/王子神谷駅 歩4分
ＪＲ京浜東北線/東十条駅 歩13分
ＪＲ埼京線/十条駅 歩20分
","
築3年
13階建
","
											2階",16.9万円,20000円,16.9万円,16.9万円,2LDK,50.8m2
仮称アビアラ　ビューノ赤羽北,東京都北区赤羽北１,"
ＪＲ埼京線/北赤羽駅 歩3分
ＪＲ京浜東北線/赤羽駅 歩21分
東京メトロ南北線/赤羽岩淵駅 歩17分
","
新築
4階建
","
											1階",15.5万円,7000円,15.5万円,15.5万円,2LDK,57.97m2
イプセ戸越公園,東京都品川区豊町３,"
東急大井町線/戸越公園駅 歩5分
ＪＲ横須賀線/西大井駅 歩12分
都営浅草線/中延駅 歩11分
","
築3年
5階建
","
											5階",18.6万円,10000円,18.6万円,18.6万円,2LDK,40.36m2
ＪＲ山手線 駒込駅 9階建 築2年,東京都北区田端３,"
ＪＲ山手線/駒込駅 歩5分
東京メトロ南北線/駒込駅 歩8分
ＪＲ山手線/田端駅 歩10分
","
築2年
9階建
","
											4階",18.4万円,15000円,18.4万円,18.4万円,2LDK,47.17m2
プライムネクサス品川鮫洲,東京都品川区東大井１,"
京急本線/鮫洲駅 歩1分
京急本線/青物横丁駅 歩8分
ＪＲ京浜東北線/大井町駅 歩12分
","
新築
4階建
","
											4階",13.5万円,10000円,13.5万円,13.5万円,2LDK,40.09m2
PETITO南台,東京都中野区南台５,"
東京メトロ丸ノ内線/方南町駅 歩4分
東京メトロ丸ノ内線/中野富士見町駅 歩15分
京王線/笹塚駅 歩20分
","
新築
3階建
","
											2階",18万円,5000円,18万円,18万円,2LDK,52.03m2
PETITO南台,東京都中野区南台５,"
東京メトロ丸ノ内線/方南町駅 歩4分
東京メトロ丸ノ内線/中野富士見町駅 歩15分
京王線/笹塚駅 歩20分
","
新築
3階建
","
											1階",20万円,5000円,20万円,20万円,2LDK,63.25m2
ヴィオレッタときわ台,東京都板橋区常盤台１,"
東武東上線/中板橋駅 歩4分
東武東上線/ときわ台駅 歩7分
都営三田線/板橋本町駅 歩15分
","
新築
3階建
","
											2階",16.3万円,-,16.3万円,16.3万円,2LDK,51.81m2
ミリアレジデンス品川中延,東京都品川区二葉４,"
ＪＲ埼京線/西大井駅 歩5分
都営浅草線/中延駅 歩8分
都営浅草線/馬込駅 歩11分
","
築2年
5階建
","
											4階",19.8万円,15000円,-,-,2LDK,40.28m2
京急本線 新馬場駅 9階建 築3年,東京都品川区南品川４,"
京急本線/新馬場駅 歩5分
京急本線/青物横丁駅 歩13分
ＪＲ京浜東北線/大井町駅 歩15分
","
築3年
9階建
","
											5階",20万円,20000円,20万円,-,2LDK,40.93m2
Les Soeurs 上板橋 ～レスールカミイタバシ～,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩15分
東京メトロ有楽町線/氷川台駅 歩27分
","
新築
2階建
","
											1階",17万円,5000円,17万円,17万円,2LDK,53.6m2
Les Soeurs 上板橋 ～レスールカミイタバシ～,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩15分
東京メトロ有楽町線/氷川台駅 歩27分
","
新築
2階建
","
											1階",17万円,5000円,17万円,17万円,2LDK,53.6m2
Les Soeurs 上板橋 ～レスールカミイタバシ～,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩15分
東京メトロ有楽町線/氷川台駅 歩27分
","
新築
2階建
","
											2階",18万円,5000円,18万円,18万円,2LDK,64.6m2
Les Soeurs 上板橋 ～レスールカミイタバシ～,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩15分
東京メトロ有楽町線/氷川台駅 歩27分
","
新築
2階建
","
											2階",18万円,5000円,18万円,18万円,2LDK,64.6m2
Les Soeurs上板橋（レ・スール上板橋）,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩13分
東武東上線/中板橋駅 歩24分
","
新築
2階建
","
											1階",17万円,5000円,17万円,17万円,2LDK,53.6m2
Les Soeurs上板橋（レ・スール上板橋）,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩13分
東武東上線/中板橋駅 歩24分
","
新築
2階建
","
											1階",17万円,5000円,17万円,17万円,2LDK,53.6m2
Les Soeurs上板橋（レ・スール上板橋）,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩13分
東武東上線/中板橋駅 歩24分
","
新築
2階建
","
											2階",18万円,5000円,18万円,18万円,2LDK,64.6m2
Les Soeurs上板橋（レ・スール上板橋）,東京都板橋区上板橋１,"
東武東上線/上板橋駅 歩4分
東武東上線/ときわ台駅 歩13分
東武東上線/中板橋駅 歩24分
","
新築
2階建
","
											2階",18万円,5000円,18万円,18万円,2LDK,64.6m2
